1,Afghanistan,37209007
2,Albania,2938428
3,Algeria,42679018
4,American Samoa,55727
5,Andorra,77072
6,Angola,31787566
7,Anguilla,15174
8,Antigua and Barbuda,104084
9,Argentina,45101781
10,Armenia,2936706
11,Aruba,106053
12,Australia,25088636
13,Austria,8766201
14,Azerbaijan,10014575
15,Bahamas,403095
16,Bahrain,1637896
17,Bangladesh,168065920
18,Barbados,287010
19,Belarus,9433874
20,Belgium,11562784
21,Belize,390231
22,Benin,11801595
23,Bermuda,60833
24,Bhutan,826229
25,Bolivia,11379861
26,Bosnia & Herzegovina,3501774
27,Botswana,2374636
28,Brazil,212392717
29,British Virgin Islands,32206
30,Brunei,439336
31,Bulgaria,6988739
32,Burkina Faso,20321560
33,Burundi,11575964
34,Cabo Verde,560349
35,Cambodia,16482646
36,Cameroon,25312993
37,Canada,37279811
38,Caribbean Netherlands,25971
39,Cayman Islands,63129
40,Central African Republic,4825711
41,Chad,15814345
42,Channel Islands,166828
43,Chile,18336653
44,China,1420062022
45,Colombia,49849818
46,Comoros,850910
47,Congo,5542197
48,Cook Islands,17462
49,Costa Rica,4999384
50,Côte d'Ivoire,25531083
51,Croatia,4140148
52,Cuba,11492046
53,Curaçao,162547
54,Cyprus,1198427
55,Czech Republic,10630589
56,Denmark,5775224
57,Djibouti,985690
58,Dominica,74679
59,Dominican Republic,10996774
60,DR Congo,86727573
61,Ecuador,17100444
62,Egypt,101168745
63,El Salvador,6445405
64,Equatorial Guinea,1360104
65,Eritrea,5309659
66,Estonia,1303798
67,Ethiopia,110135635
68,Faeroe Islands,49692
69,Falkland Islands,2921
70,Fiji,918757
71,Finland,5561389
72,France,65480710
73,French Guiana,296847
74,French Polynesia,288506
75,Gabon,2109099
76,Gambia,2228075
77,Georgia,3904204
78,Germany,82438639
79,Ghana,30096970
80,Gibraltar,34879
81,Greece,11124603
82,Greenland,56673
83,Grenada,108825
84,Guadeloupe,448798
85,Guam,167245
86,Guatemala,17577842
87,Guinea,13398180
88,Guinea-Bissau,1953723
89,Guyana,786508
90,Haiti,11242856
91,Holy See,799
92,Honduras,9568688
93,Hong Kong,7490776
94,Hungary,9655361
95,Iceland,340566
96,India,1368737513
97,Indonesia,269536482
98,Iran,82820766
99,Iraq,40412299
100,Ireland,4847139
101,Isle of Man,85369
102,Israel,8583916
103,Italy,59216525
104,Jamaica,2906339
105,Japan,126854745
106,Jordan,10069794
107,Kazakhstan,18592970
108,Kenya,52214791
109,Kiribati,120428
110,Kuwait,4248974
111,Kyrgyzstan,6218616
112,Laos,7064242
113,Latvia,1911108
114,Lebanon,6065922
115,Lesotho,2292682
116,Liberia,4977720
117,Libya,6569864
118,Liechtenstein,38404
119,Lithuania,2864459
120,Luxembourg,596992
121,Macao,642090
122,Madagascar,26969642
123,Malawi,19718743
124,Malaysia,32454455
125,Maldives,451738
126,Mali,19689140
127,Malta,433245
128,Marshall Islands,53211
129,Martinique,385320
130,Mauritania,4661149
131,Mauritius,1271368
132,Mayotte,266380
133,Mexico,132328035
134,Micronesia,106983
135,Moldova,4029750
136,Monaco,39102
137,Mongolia,3166244
138,Montenegro,629355
139,Montserrat,5220
140,Morocco,36635156
141,Mozambique,31408823
142,Myanmar,54336138
143,Namibia,2641996
144,Nauru,11260
145,Nepal,29942018
146,Netherlands,17132908
147,New Caledonia,283376
148,New Zealand,4792409
149,Nicaragua,6351157
150,Niger,23176691
151,Nigeria,200962417
152,Niue,1628
153,North Korea,25727408
154,Northern Mariana Islands,55246
155,Norway,5400916
156,Oman,5001875
157,Pakistan,204596442
158,Palau,22206
159,Panama,4226197
160,Papua New Guinea,8586525
161,Paraguay,6981981
162,Peru,32933835
163,Philippines,108106310
164,Poland,38028278
165,Portugal,10254666
166,Puerto Rico,3654978
167,Qatar,2743901
168,Réunion,889918
169,Romania,19483360
170,Russia,143895551
171,Rwanda,12794412
172,Saint Helena,4096
173,Saint Kitts & Nevis,56345
174,Saint Lucia,180454
175,Saint Pierre & Miquelon,6375
176,Samoa,198909
177,San Marino,33683
178,Sao Tome & Principe,213379
179,Saudi Arabia,34140662
180,Senegal,16743859
181,Serbia,8733407
182,Seychelles,95702
183,Sierra Leone,7883123
184,Singapore,5868104
185,Sint Maarten,40939
186,Slovakia,5450987
187,Slovenia,2081900
188,Solomon Islands,635254
189,Somalia,15636171
190,South Africa,58065097
191,South Korea,51339238
192,South Sudan,13263184
193,Spain,46441049
194,Sri Lanka,21018859
195,St. Vincent & Grenadines,110488
196,State of Palestine,5186790
197,Sudan,42514094
198,Suriname,573085
199,Swaziland,1415414
200,Sweden,10053135
201,Switzerland,8608259
202,Syria,18499181
203,Taiwan,23758247
204,Tajikistan,9292000
205,Tanzania,60913557
206,TFYR Macedonia,2086720
207,Thailand,69306160
208,Timor-Leste,1352360
209,Togo,8186384
210,Tokelau,1340
211,Tonga,110041
212,Trinidad and Tobago,1375443
213,Tunisia,11783168
214,Turkey,82961805
215,Turkmenistan,5942561
216,Turks and Caicos,36461
217,Tuvalu,11393
218,U.K.,66959016
219,U.S.,329093110
220,U.S. Virgin Islands,104909
221,Uganda,45711874
222,Ukraine,43795220
223,United Arab Emirates,9682088
224,Uruguay,3482156
225,Uzbekistan,32807368
226,Vanuatu,288017
227,Venezuela,32779868
228,Viet Nam,97429061
229,Wallis & Futuna,11617
230,Western Sahara,582478
231,Yemen,29579986
232,Zambia,18137369
233,Zimbabwe,17297495
